capacity_slack,elapsed_sec,final_gap_to_instance_best,final_objective,grid_capacity_slack,grid_mode,grid_tw_tightness,instance_tag,iters_to_target,k_vehicles,method,n_requests,outcome,reference_best,remove_count,seed,shots,target_eps,time_to_target_sec,tw_tightness
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,inf,15,hybrid_alns,150,time_to_target,,2,40,16,0.01,inf,0.15
0.15,24.66113819999964,0.029429731290395476,456136.5738715898,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,regret_k,150,fixed_budget,443096.3668591738,2,50,16,,,0.15
0.15,24.63614890000008,0.06673809542088079,472667.77447126695,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,standard_alns,150,fixed_budget,443096.3668591738,2,50,16,,,0.15
0.15,39.744952399999875,0.0,443096.3668591738,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,qaoa,150,fixed_budget,443096.3668591738,2,50,16,,,0.15
0.15,40.0394268,0.008673447898907402,446939.540111322,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,efficient_su2,150,fixed_budget,443096.3668591738,2,50,16,,,0.15
0.15,29.78673280000021,0.053002547313754186,466581.60300817975,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,,15,hybrid_alns,150,fixed_budget,443096.3668591738,2,50,16,,,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,inf,15,regret_k,150,time_to_target,,2,50,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,inf,15,standard_alns,150,time_to_target,,2,50,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,94,15,qaoa,150,time_to_target,,2,50,16,0.01,37.78183309999986,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,99,15,efficient_su2,150,time_to_target,,2,50,16,0.01,40.0394268,0.15
0.15,,,,0.15,alns_grid,0.15,R150_K15_tw0.15_cap0.15,inf,15,hybrid_alns,150,time_to_target,,2,50,16,0.01,inf,0.15
0.15,35.0483577,0.06236091627447819,516485.6700700829,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,regret_k,200,fixed_budget,486167.8005637779,2,10,16,,,0.15
0.15,34.66349470000023,0.023929073736173173,497801.3457116217,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,standard_alns,200,fixed_budget,486167.8005637779,2,10,16,,,0.15
0.15,49.99714089999998,0.04341096973819674,507272.81624173775,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,qaoa,200,fixed_budget,486167.8005637779,2,10,16,,,0.15
0.15,47.859514099999615,0.04213231816915821,506651.17702073086,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,efficient_su2,200,fixed_budget,486167.8005637779,2,10,16,,,0.15
0.15,40.833942499999466,0.0,486167.8005637779,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,,20,hybrid_alns,200,fixed_budget,486167.8005637779,2,10,16,,,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,inf,20,regret_k,200,time_to_target,,2,10,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,inf,20,standard_alns,200,time_to_target,,2,10,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,inf,20,qaoa,200,time_to_target,,2,10,16,0.01,inf,0.15
0.15,,,,0.15,alns_grid,0.15,R200_K20_tw0.15_cap0.15,inf,20,efficient_su2,200,time_to_target,,2,10,16,0.01,inf,0.15
